,ranking,name,year,genre,rating,summary,director,actor_1,actor_2,actor_3,actor_4,certificate
0,1,The Witcher 3: Wild Hunt - Blood and Wine,2016,"['Action', ' Adventure', ' Drama']",9.8,Geralt is in the southern province of Toussaint where a monstrous serial killer is targeting knights with a dark past. Geralt and his old vampire friend investigate the killer's motives.,Konrad Tomaszkiewicz,Doug Cockle,MyAnna Buring,Antonia Bernath,Mark Noble,
1,2,Red Dead Redemption II,2018,"['Action', ' Adventure', ' Crime']",9.7,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",Benjamin Byron Davis,Roger Clark,Rob Wiethoff,Cali Elizabeth Moore,,M
2,3,The Witcher 3: Wild Hunt,2015,"['Action', ' Adventure', ' Drama']",9.7,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,Konrad Tomaszkiewicz,Doug Cockle,Denise Gough,Jo Wyatt,Jaimi Barbakoff,M
3,4,The Last of Us,2013,"['Action', ' Adventure', ' Drama']",9.7,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",Neil Druckmann,Jeffrey Pierce,Ashley Johnson,Troy Baker,Hana Hayes,M
4,5,Mass Effect: Legendary Edition,2021,"['Action', ' Adventure', ' Sci-Fi']",9.7,A compilation of the first three Mass Effect games.,Casey Hudson,Seth Green,Steven Barr,Kimberly Brooks,Keith David,M
5,6,God of War,2018,"['Action', ' Adventure', ' Drama']",9.6,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.",Cory Barlog,Christopher Judge,Sunny Suljic,Jeremy Davies,Danielle Bisutti,M
6,7,Persona 5 Royal,2019,"['Action', ' Adventure', ' Fantasy']",9.6,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,Daiki Itô,Jun Fukuyama,Ikue Ôtani,Mamoru Miyano,Nana Mizuki,M
7,8,The Legend of Zelda: Ocarina of Time,1998,"['Action', ' Adventure', ' Fantasy']",9.6,A young Kokiri boy discovers that his destiny is to free the Seven Sages and save the land of Hyrule from the treacherous sorcerer Ganondorf.,Eiji Aonuma,Nobuyuki Hiyama,Yoshiaki Koizumi,Shigeru Miyamoto,Tôru Ôsawa,E
8,9,Metal Gear Solid,1998,"['Action', ' Adventure', ' Drama']",9.6,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.",Hideo Kojima,David Hayter,Patric Zimmerman,Peter Lurie,Akio Ôtsuka,M
9,10,The Witcher 3: Wild Hunt - Hearts of Stone,2015,"['Action', ' Adventure', ' Drama']",9.5,"Geralt is forced by a seemingly harmless merchant with sinister powers to complete three difficult tasks for a bored immortal, once a troubled nobleman who made a deal with the devil.",Konrad Tomaszkiewicz,Doug Cockle,Susannah Fielding,Paul Thornley,Alex Norton,
10,11,Uncharted 4: A Thief's End,2016,"['Action', ' Adventure', ' Drama']",9.5,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",Neil Druckmann,Emily Rose,Nolan North,Troy Baker,Richard McGonagle,T
11,12,Grand Theft Auto V,2013,"['Action', ' Crime', ' Drama']",9.5,Three very different criminals team up for a series of heists in the corrupt city of Los Santos.,Shawn Fonteno,Ned Luke,Steven Ogg,Gerald 'Slink' Johnson,,M
12,13,Mass Effect 2,2010,"['Action', ' Adventure', ' Sci-Fi']",9.5,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",Casey Hudson,Shohreh Aghdashloo,Maggie Baird,Adam Baldwin,Michael Beattie,M
13,14,Half-Life: Alyx,2020,"['Action', ' Adventure', ' Horror']",9.5,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.",Ozioma Akagha,James Moses Black,Rhys Darby,Tony Todd,,
14,15,Metal Gear Solid 3: Subsistence,2005,"['Action', ' Adventure', ' Drama']",9.5,"Enhanced version of  (2004) with many added features; such as the free range camera, new camouflage outfits, bonus levels and a theater mode.",Hideo Kojima,David Hayter,Suzetta Miñet,Jim Piddock,Heather Halley,M
15,16,Metal Gear Solid 3: Snake Eater,2004,"['Action', ' Adventure', ' Drama']",9.5,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.",Hideo Kojima,David Hayter,Suzetta Miñet,Jim Piddock,Heather Halley,M
16,17,Star Wars: Knights of the Old Republic,2003,"['Action', ' Adventure', ' Fantasy']",9.5,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.",Casey Hudson,Jennifer Hale,Raphael Sbarge,Rafael Ferrer,John Cygan,T
17,18,Chrono Trigger,1995,"['Action', ' Adventure', ' Fantasy']",9.5,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.",Yoshinori Kitase,Akihiko Matsui,Takashi Tokita,Nao Ito,,
18,19,Final Fantasy VII,1997,"['Action', ' Adventure', ' Fantasy']",9.5,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,Yoshinori Kitase,Yasushi Matsumura,Masato Yagi,,,T
19,20,Bloodborne: The Old Hunters,2015,"['Action', ' Adventure', ' Fantasy']",9.4,"In this DLC for Bloodborne, the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.",Hidetaka Miyazaki,Evetta Muradasilova,Des McAleer,Grant Gillespie,Lotte Rice,
20,21,The Legend of Zelda: Breath of the Wild,2017,"['Action', ' Adventure', ' Fantasy']",9.4,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.",Hidemaro Fujibayashi,Kôji Takeda,Kentaro Tominaga,Kengo Takanashi,Yû Shimamura,E10+
21,22,The Elder Scrolls V: Skyrim,2011,"['Action', ' Adventure', ' Fantasy']",9.4,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",Todd Howard,Michael Hogan,Max von Sydow,Christopher Plummer,Joan Allen,M
22,23,Portal 2,2011,"['Adventure', ' Comedy', ' Sci-Fi']",9.4,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLADoS once again with the help of Wheatley, who has his own plans for the historical facility.",Ellen McLain,Stephen Merchant,J.K. Simmons,Joe Micheals,,E10+
23,24,Batman: Arkham City,2011,"['Action', ' Adventure', ' Crime']",9.4,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",Sefton Hill,Kevin Conroy,Mark Hamill,David Kaye,Carlos Alazraqui,T
24,25,Red Dead Redemption,2010,"['Action', ' Adventure', ' Crime']",9.4,A former outlaw is forced by the federal government to hunt down the members of his old gang.,Rob Wiethoff,Josh Blaylock,Sophia Marzocchi,Spider Madison,,M
25,26,Uncharted 2: Among Thieves,2009,"['Action', ' Adventure', ' Fantasy']",9.4,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",Amy Hennig,Richard McGonagle,Nolan North,Emily Rose,Claudia Black,T
26,27,Metal Gear Solid 4: Guns of the Patriots,2008,"['Action', ' Adventure', ' Drama']",9.4,"When the nations of the world rely upon private military companies to fight their battles for them, renegade Liquid Ocelot emerges as the head of a potent coalition of mercenary powers. Solid Snake returns to save the world once again.",Hideo Kojima,David Hayter,Josh Keaton,Peter Lurie,Paul Eiding,M
27,28,Grand Theft Auto: San Andreas,2004,"['Action', ' Crime']",9.4,"A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.",Young Maylay,Faizon Love,Yolanda 'Yo-Yo' Whittaker,Clifton Powell,,M
28,29,Half-Life 2,2004,"['Action', ' Adventure', ' Sci-Fi']",9.4,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.",David Speyrer,Robert Guillaume,Robert Culp,Louis Gossett Jr.,Michelle Forbes,M
29,30,Silent Hill 2,2001,"['Drama', ' Horror', ' Mystery']",9.4,"After receiving a letter from his late wife, from Silent Hill, James Sunderland makes his way to the town in an attempt to find her.",Takayuki Kobayashi,David Schaufele,Guy Cihi,Monica Horgan,Donna Burke,M
30,31,Baldur's Gate II: Shadows of Amn,2000,"['Action', ' Adventure', ' Fantasy']",9.4,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.",Feargus Urquhart,David Warner,Charlie Adler,Dee Bradley Baker,Michael Bell,T
31,32,Planescape: Torment,1999,"['Adventure', ' Drama', ' Fantasy']",9.4,"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.",Michael T. Weiss,Rob Paulsen,Jennifer Hale,Sheena Easton,,T
32,33,Fallout 2: A Post-Nuclear Role-Playing Game,1998,"['Action', ' Adventure', ' Sci-Fi']",9.4,"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.",Feargus Urquhart,Charlie Adler,Ron Perlman,Dwight Schultz,Jason Marsden,M
33,34,Ghost of Tsushima,2020,"['Action', ' Adventure', ' Drama']",9.3,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",Nate Fox,Daisuke Tsuji,Eric Steinberg,Sumalee Montano,Patrick Gallagher,M
34,35,Batman: Return to Arkham,2016,"['Action', ' Adventure', ' Crime']",9.3,Batman: Return to Arkham thrusts players back into the environments of Arkham Asylum and Arkham City with a remastered graphics engine and all DLC.,Sefton Hill,Mark Hamill,Kevin Conroy,Arleen Sorkin,Tom Kane,T
35,36,Persona 5,2016,"['Action', ' Adventure', ' Fantasy']",9.3,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,Katsura Hashino,Jun Fukuyama,Mamoru Miyano,Nana Mizuki,Ikue Ôtani,M
36,37,Kingdom Hearts HD 1.5 Remix,2013,"['Action', ' Adventure', ' Family']",9.1,"A compilation of three classic games, Kingdom Hearts Final Mix (updated version of the original Kingdom Hearts game,  (2007) and  (2009).",Tetsuya Nomura,Billy Zane,Haley Joel Osment,Hayden Panettiere,David Gallagher,E10+
37,38,P.T.,2014,"['Horror', ' Mystery']",9.3,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.",Guillermo del Toro,Hideo Kojima,Norman Reedus,,,Not Rated
38,39,Persona 4 Golden,2012,"['Action', ' Adventure', ' Fantasy']",9.3,"A group of high school students discover a hidden TV world called 'The Midnight Channel', an alternate reality infested with shadows that is being used to commit murder. After awakening to their Personas, the group decides to investigate.",Daiki Itô,Shôtarô Morikubo,Teppei Kobayashi,Atsushi Watanabe,Daisuke Namikawa,M
39,40,It Takes Two,2021,"['Adventure', ' Comedy', ' Drama']",9.3,"Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend's Pass and work ...                 »",Josef Fares,Joseph Balderrama,Annabelle Dowler,Clare Corbett,Stephen Greif,
40,41,Shin Megami Tensei: Persona 4,2008,"['Action', ' Adventure', ' Fantasy']",9.2,"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.",Katsura Hashino,Yui Horie,Susumu Nishizawa,Daisuke Namikawa,Shôtarô Morikubo,M
41,42,Kingdom Hearts II: Final Mix+,2007,"['Action', ' Adventure', ' Family']",9.3,Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,Tetsuya Nomura,Haley Joel Osment,David Gallagher,Hayden Panettiere,Jesse McCartney,
42,43,Shadow of the Colossus,2005,"['Action', ' Adventure', ' Drama']",9.3,A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,Fumito Ueda,Kenji Nojima,Kazuhiro Nakata,Kyôko Hikami,Naoki Bando,T
43,44,Kingdom Hearts II,2005,"['Action', ' Adventure', ' Family']",9.3,"Sora and friends face mysterious new enemies as they continue their journey to save all worlds, and find Riku and King Mickey.",Tetsuya Nomura,Haley Joel Osment,David Gallagher,Hayden Panettiere,Jesse McCartney,E10+
44,45,Suikoden II,1998,"['Action', ' Adventure', ' Drama']",9.2,"Three years after the Gate Rune War, the 108 Stars of Destiny once again gather to protect the City-State of Jowston from the invading Kingdom of Highland, led by the demonic Luca Blight.",Yoshitaka Murayama,,,,,T
45,46,The Legend of Zelda: A Link to the Past,1991,"['Action', ' Adventure', ' Fantasy']",9.3,"The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.",Takashi Tezuka,Hidemaro Fujibayashi,Fujiko Takimoto,,,
46,47,The Secret of Monkey Island,1990,"['Adventure', ' Comedy', ' Fantasy']",9.3,"Young pirate wanna-be Guybrush Threepwood sets out to pass the Three Trials, woo the governess Elaine Marley, reach the fabled Monkey Island and vanquish the nefarious ghost pirate LeChuck.",Ron Gilbert,Leilani Jones,Dominic Armato,Earl Boen,Alexandra Boyd,E
47,48,Super Mario World,1990,"['Action', ' Adventure', ' Family']",9.3,"While Mario and Luigi are vacationing in Dinosaur Land, Bowser kidnaps the Princess. Mario and his new dino friend Yoshi go on a mission to save her.",Takashi Tezuka,,,,,E
48,49,Spider-Man,2018,"['Action', ' Adventure', ' Fantasy']",9.2,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",Ryan Smith,Yuri Lowenthal,Tara Platt,Travis Willingham,William Salyers,T
49,50,Detroit: Become Human,2018,"['Action', ' Drama', ' Mystery']",9.2,Take control of three androids in their quest to discover who they really are.,David Cage,Valorie Curry,Bryan Dechart,Jesse Williams,Audrey Boustani,M
50,51,Bloodborne,2015,"['Action', ' Adventure', ' Fantasy']",9.2,"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumb to beast hood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.",Hidetaka Miyazaki,Daniel Fine,Joe Sims,William Vanderpuye,Andrew Tiernan,M
51,52,The Walking Dead,2012,"['Drama', ' Horror', ' Sci-Fi']",9.2,"In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine.",Sean Ainsworth,Sean Vanaman,Dennis Lenart,Eric Parsons,Jake Rodkin,M
52,53,Batman: Arkham Asylum,2009,"['Action', ' Crime', ' Fantasy']",9.2,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,Sefton Hill,Mark Hamill,Kevin Conroy,Arleen Sorkin,Tom Kane,T
53,54,Mass Effect,2007,"['Action', ' Adventure', ' Sci-Fi']",9.2,"In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.",Casey Hudson,Steven Barr,Kimberly Brooks,Keith David,Seth Green,M
54,55,God of War II,2007,"['Action', ' Adventure', ' Fantasy']",9.2,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.",Cory Barlog,Linda Hunt,Terrence 'T.C.' Carson,Michael Clarke Duncan,Carole Ruggier,M
55,56,Resident Evil 4,2005,"['Action', ' Adventure', ' Horror']",9.2,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",Kuniomi Matsushita,Salli Saffioti,Paul Mercier,Carolyn Lawrence,Rino Romano,M
56,57,Mafia: The City of Lost Heaven,2002,"['Action', ' Crime', ' Drama']",9.2,You play a 1930s mobster as you act out your confession of your rise in the ranks of organized crime.,Daniel Vávra,Michael Sorvino,William DeMeo,George DiCenzo,Matt Servitto,M
57,58,Kingdom Hearts,2002,"['Action', ' Adventure', ' Family']",9.2,"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.",Tetsuya Nomura,Miyu Irino,Mamoru Miyano,Risa Uchida,Kôichi Yamadera,E
58,59,Grand Theft Auto: Vice City,2002,"['Action', ' Crime', ' Drama']",9.2,"After being released from jail, Tommy Vercetti left Liberty City for Vice City, a city overrun by the mob. Now, Tommy is out to make Vice City his home.",Ray Liotta,William Fichtner,Tom Sizemore,Dennis Hopper,,M
59,60,Max Payne,2001,"['Action', ' Crime', ' Drama']",9.2,"A troubled NYPD cop is framed for murder and finds himself being hunted by the police, the mob, and a ruthless corporation.",James McCaffrey,Haviland Morris,Chris Phillips,Jane Gennaro,,M
60,61,Deus Ex,2000,"['Action', ' Adventure', ' Drama']",9.2,"In a dark cyberpunk future where poverty, disease, oppression and terrorism are widespread, J.C. Denton, a new cybernetically-enhanced special agent, finds evidence of a massive conspiracy when his brother, also an agent, goes rogue.",Warren Spector,Jay Anthony Franke,Brent Anderson,Ralph Barbagallo,Chad Bannon,M
61,62,Castlevania: Symphony of the Night,1997,"['Action', ' Adventure', ' Fantasy']",9.2,"Richter Belmont has vanished just as Castlevania reemerged from the mists. Meanwhile, Alucard, the bastard son of Dracula, has awakened from his eternal slumber, intent on destroying his evil father once and for all.",Toru Hagihara,Robert Belgrade,Ramsay Scott,Kimberly Forsythe,Michael Guinn,T
62,63,Super Mario Bros. 3,1988,"['Action', ' Adventure', ' Family']",9.2,"King Koopa has kidnapped Princess Toadstool, taken over all seven kingdoms in the Mushroom World, and put his seven kids in charge of all of them. It's the Mario Brothers to the rescue.",Shigeru Miyamoto,Takashi Tezuka,,,,
63,64,Monkey Island 2: LeChuck's Revenge,1991,"['Adventure', ' Comedy', ' Fantasy']",9.3,"Having vanquished the ghost pirate LeChuck with a soft drink, Guybrush Threepwood now seeks the treasure of Big Whoop. During his quest he discovers LeChuck is back from the dead. Once again.",Ron Gilbert,Dominic Armato,Earl Boen,Alexandra Boyd,Leilani Jones,
64,65,Half-Life,1998,"['Action', ' Sci-Fi', ' Thriller']",9.2,Dr. Gordon Freeman must fight his way out of a secret research facility after a teleportation experiment goes disastrously wrong.,Randy Pitchford,Kathy Levin,Lani Minella,Brice Armstrong,Harry S. Robins,M
65,66,Grim Fandango,1998,"['Adventure', ' Comedy', ' Crime']",9.2,Manuel Calavera is a travel agent in The Land of the Dead who has stumbled across a ring of corruption.,Tim Schafer,Tony Plana,Maria Canals-Barrera,Alan Blumenfeld,Pamela Adlon,T
66,67,Fallout: A Post-Nuclear Role-Playing Game,1997,"['Action', ' Adventure', ' Sci-Fi']",9.2,"After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.",Feargus Urquhart,Charlie Adler,Richard Dean Anderson,Jeff Bennett,Clancy Brown,M
67,68,Ori and the Will of the Wisps,2020,"['Adventure', ' Fantasy']",9.1,"Ori begins a new journey that goes beyond the forest of Nibel where he uncovers lost secrets, and unearths his true destiny.",Erik Braa,Boris Hiestand,Jennifer Losi,Tiana Camacho,,E
68,69,Resident Evil 2,2019,"['Action', ' Horror', ' Sci-Fi']",9.1,"Re-imagining of  (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.",Yasuhiro Anpo,Eliza Pryor,Nick Apostolides,Stephanie Panisello,Jolene Andersen,M
69,70,Dark Souls III,2016,"['Action', ' Adventure', ' Fantasy']",9.1,"The fire is fading. Darkness creeps across the land. The Lords of Cinder charged with watching over the First Flame have abandoned their thrones. The Champion of Ash, an undead is chosen to return them to their thrones.",Hidetaka Miyazaki,Roger Ringrose,Yui Tanimura,Pik Sen Lim,Olivia Mace,M
70,71,Horizon Zero Dawn,2017,"['Action', ' Adventure', ' Mystery']",9.1,"In a primitive tribal world where strange, monstrous, animalistic machines roam the wilderness, a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.",Mathijs de Jonge,Ashly Burch,Laura van Tol,Ava Potter,JB Blanc,T
71,72,Mob of the Dead,2013,"['Action', ' Horror', ' Thriller']",9.1,"Mob of the Dead, featured in the DLC pack Uprising for  (2012) introduces a main Zombies map set in Alcatraz Prison around the 1930's.",Corky Lehmkuhl,Craig Houston,Ray Liotta,Michael Madsen,Nolan North,
72,73,Dark Souls,2011,"['Action', ' Adventure', ' Fantasy']",9.1,"After narrowly escaping a doomed fate in an asylum, an undead warrior fights his way through the desolate remains of Lordran, once a sprawling utopia lead by the gods, to seek his purpose and fulfill a centuries old prophecy.",Hidetaka Miyazaki,Adam Sopp,Andy Gathergood,Blake Ritson,Charlie Cameron,M
73,74,Mass Effect 3,2012,"['Action', ' Adventure', ' Sci-Fi']",9.1,"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.",Casey Hudson,Jennifer Hale,Mark Meer,Kimberly Brooks,Raphael Sbarge,M
74,75,BioShock Infinite,2013,"['Action', ' Adventure', ' Drama']",9.1,"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.",Ken Levine,Troy Baker,Courtnee Draper,Kiff VandenHeuvel,Laura Bailey,M
75,76,Dragon Age: Origins,2009,"['Action', ' Adventure', ' Fantasy']",9.1,"After four hundred years since the last Blight, a new Archdemon seeks to destroy the land of Ferelden. It is up to the player - as one of the remaining Grey Wardens - to unite the divided armies of Ferelden and save humanity.",Dan Tudge,Steve Valentine,Peter Renaday,Kate Mulgrew,Tim Curry,M
76,77,Gothic II: Night of the Raven,2003,"['Action', ' Adventure', ' Fantasy']",9.0,"Expansion pack for  (2002) with the addition of a world called Jharkendar, and new attributes, items, and weapons.",,,,,,
77,78,Ratchet & Clank: Rift Apart,2021,"['Action', ' Adventure', ' Comedy']",9.0,"They've travelled through space. They've travelled through time. Now, they'll have to travel through dimensions as their galaxy seems to rip itself apart. Ratchet and Clank must save the universe - again.",James Arnold Taylor,Jennifer Hale,David Kaye,Debra Wilson,,E10+
78,79,Assassin's Creed II,2009,"['Action', ' Adventure', ' History']",9.1,"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.",Sylvain Bernard,Fred Tatasciore,Roger Craig Smith,Kristen Bell,Nolan North,M
79,80,God of War III,2010,"['Action', ' Adventure', ' Fantasy']",9.1,"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.",Stig Asmussen,George Ball,Adrienne Barbeau,Susanne Blakeslee,Clancy Brown,M
80,81,Portal,2007,"['Adventure', ' Comedy', ' Sci-Fi']",9.1,A test subject wakes up in a scientific facility controlled by a sadistic artificial intelligence and must escape with the help of the only instrument she has--a gun that makes portals.,Ellen McLain,Mike Patton,Alesia Glidewell,Jeep Barnett,,T
81,82,Disco Elysium,2019,"['Comedy', ' Crime', ' Drama']",9.1,You're a detective tasked with solving a murder in the strange world of Elysium. Utilize a new and innovative skill system to be the detective you want to be. Become a hero or an absolute disaster of a human being.,Mikee W. Goodman,Jullian Champenois,Tariq Khan,Dasha Nekrasova,,
